block,trap,latitude,longitude,nummosquitos,wnvpresent,year,month,day,station,tmax,tmin,tavg,depart,dewpoint,wetbulb,heat,cool,preciptotal,stnpressure,sealevel,resultspeed,resultdir,avgspeed,species_CULEX ERRATICUS,species_CULEX PIPIENS,species_CULEX PIPIENS/RESTUANS,species_CULEX RESTUANS,species_CULEX SALINARIUS,species_CULEX TARSALIS,species_CULEX TERRITANS
22,096,41.731922,-87.677512,1,0,2007,5,29,2,88,65,77.0,10.0,59,66.0,0.0,12.0,0.0,29.44,30.09,5.8,16,7.4,0,1,0,0,0,0,0
22,096,41.731922,-87.677512,5,0,2007,5,29,1,88,60,74.0,10.0,58,65.0,0.0,9.0,0.0,29.39,30.11,5.8,18,6.5,0,0,0,1,0,0,0
22,096,41.731922,-87.677512,5,0,2007,5,29,2,88,65,77.0,10.0,59,66.0,0.0,12.0,0.0,29.44,30.09,5.8,16,7.4,0,0,0,1,0,0,0
53,129,41.891126,-87.61156,1,0,2007,5,29,1,88,60,74.0,10.0,58,65.0,0.0,9.0,0.0,29.39,30.11,5.8,18,6.5,0,0,1,0,0,0,0
53,129,41.891126,-87.61156,1,0,2007,5,29,2,88,65,77.0,10.0,59,66.0,0.0,12.0,0.0,29.44,30.09,5.8,16,7.4,0,0,1,0,0,0,0
53,129,41.891126,-87.61156,2,0,2007,5,29,1,88,60,74.0,10.0,58,65.0,0.0,9.0,0.0,29.39,30.11,5.8,18,6.5,0,0,0,1,0,0,0
53,129,41.891126,-87.61156,2,0,2007,5,29,2,88,65,77.0,10.0,59,66.0,0.0,12.0,0.0,29.44,30.09,5.8,16,7.4,0,0,0,1,0,0,0
65,143,41.999129,-87.795585,1,0,2007,5,29,1,88,60,74.0,10.0,58,65.0,0.0,9.0,0.0,29.39,30.11,5.8,18,6.5,0,0,1,0,0,0,0
65,143,41.999129,-87.795585,1,0,2007,5,29,2,88,65,77.0,10.0,59,66.0,0.0,12.0,0.0,29.44,30.09,5.8,16,7.4,0,0,1,0,0,0,0
75,148,42.01743,-87.687769,1,0,2007,5,29,1,88,60,74.0,10.0,58,65.0,0.0,9.0,0.0,29.39,30.11,5.8,18,6.5,0,0,1,0,0,0,0
75,148,42.01743,-87.687769,1,0,2007,5,29,2,88,65,77.0,10.0,59,66.0,0.0,12.0,0.0,29.44,30.09,5.8,16,7.4,0,0,1,0,0,0,0
15,153,41.907645,-87.760886,1,0,2007,5,29,1,88,60,74.0,10.0,58,65.0,0.0,9.0,0.0,29.39,30.11,5.8,18,6.5,0,0,0,1,0,0,0
15,153,41.907645,-87.760886,1,0,2007,5,29,2,88,65,77.0,10.0,59,66.0,0.0,12.0,0.0,29.44,30.09,5.8,16,7.4,0,0,0,1,0,0,0
89,159,41.732984,-87.649642,1,0,2007,5,29,1,88,60,74.0,10.0,58,65.0,0.0,9.0,0.0,29.39,30.11,5.8,18,6.5,0,0,0,1,0,0,0
89,159,41.732984,-87.649642,1,0,2007,5,29,2,88,65,77.0,10.0,59,66.0,0.0,12.0,0.0,29.44,30.09,5.8,16,7.4,0,0,0,1,0,0,0
41,002,41.95469,-87.800991,1,0,2007,6,5,1,64,47,56.0,-9.0,48,51.0,9.0,0.0,0.42,29.1,29.79,5.2,5,7.6,0,1,0,0,0,0,0
41,002,41.95469,-87.800991,1,0,2007,6,5,2,63,51,57.0,-9.0,47,52.0,8.0,0.0,0.27,29.16,29.78,6.2,3,8.1,0,1,0,0,0,0,0
41,002,41.95469,-87.800991,3,0,2007,6,5,1,64,47,56.0,-9.0,48,51.0,9.0,0.0,0.42,29.1,29.79,5.2,5,7.6,0,0,1,0,0,0,0
41,002,41.95469,-87.800991,3,0,2007,6,5,2,63,51,57.0,-9.0,47,52.0,8.0,0.0,0.27,29.16,29.78,6.2,3,8.1,0,0,1,0,0,0,0
41,002,41.95469,-87.800991,5,0,2007,6,5,1,64,47,56.0,-9.0,48,51.0,9.0,0.0,0.42,29.1,29.79,5.2,5,7.6,0,0,0,1,0,0,0
41,002,41.95469,-87.800991,5,0,2007,6,5,2,63,51,57.0,-9.0,47,52.0,8.0,0.0,0.27,29.16,29.78,6.2,3,8.1,0,0,0,1,0,0,0
91,009,41.981964,-87.812827,2,0,2007,6,5,1,64,47,56.0,-9.0,48,51.0,9.0,0.0,0.42,29.1,29.79,5.2,5,7.6,0,0,0,1,0,0,0
91,009,41.981964,-87.812827,2,0,2007,6,5,2,63,51,57.0,-9.0,47,52.0,8.0,0.0,0.27,29.16,29.78,6.2,3,8.1,0,0,0,1,0,0,0
36,011,41.944869,-87.832763,1,0,2007,6,5,1,64,47,56.0,-9.0,48,51.0,9.0,0.0,0.42,29.1,29.79,5.2,5,7.6,0,0,0,1,0,0,0
36,011,41.944869,-87.832763,1,0,2007,6,5,2,63,51,57.0,-9.0,47,52.0,8.0,0.0,0.27,29.16,29.78,6.2,3,8.1,0,0,0,1,0,0,0
79,015,41.974089,-87.824812,1,0,2007,6,5,1,64,47,56.0,-9.0,48,51.0,9.0,0.0,0.42,29.1,29.79,5.2,5,7.6,0,0,1,0,0,0,0
79,015,41.974089,-87.824812,1,0,2007,6,5,2,63,51,57.0,-9.0,47,52.0,8.0,0.0,0.27,29.16,29.78,6.2,3,8.1,0,0,1,0,0,0,0
79,015,41.974089,-87.824812,2,0,2007,6,5,1,64,47,56.0,-9.0,48,51.0,9.0,0.0,0.42,29.1,29.79,5.2,5,7.6,0,0,0,1,0,0,0
79,015,41.974089,-87.824812,2,0,2007,6,5,2,63,51,57.0,-9.0,47,52.0,8.0,0.0,0.27,29.16,29.78,6.2,3,8.1,0,0,0,1,0,0,0
72,016,42.011601,-87.811506,1,0,2007,6,5,1,64,47,56.0,-9.0,48,51.0,9.0,0.0,0.42,29.1,29.79,5.2,5,7.6,0,0,0,1,0,0,0
72,016,42.011601,-87.811506,1,0,2007,6,5,2,63,51,57.0,-9.0,47,52.0,8.0,0.0,0.27,29.16,29.78,6.2,3,8.1,0,0,0,1,0,0,0
38,019,41.94983,-87.698457,1,0,2007,6,5,1,64,47,56.0,-9.0,48,51.0,9.0,0.0,0.42,29.1,29.79,5.2,5,7.6,0,0,0,1,0,0,0
38,019,41.94983,-87.698457,1,0,2007,6,5,2,63,51,57.0,-9.0,47,52.0,8.0,0.0,0.27,29.16,29.78,6.2,3,8.1,0,0,0,1,0,0,0
49,025,41.979243,-87.750938,1,0,2007,6,5,1,64,47,56.0,-9.0,48,51.0,9.0,0.0,0.42,29.1,29.79,5.2,5,7.6,0,0,0,1,0,0,0
49,025,41.979243,-87.750938,1,0,2007,6,5,2,63,51,57.0,-9.0,47,52.0,8.0,0.0,0.27,29.16,29.78,6.2,3,8.1,0,0,0,1,0,0,0
58,028,41.986921,-87.689778,2,0,2007,6,5,1,64,47,56.0,-9.0,48,51.0,9.0,0.0,0.42,29.1,29.79,5.2,5,7.6,0,0,0,1,0,0,0
58,028,41.986921,-87.689778,2,0,2007,6,5,2,63,51,57.0,-9.0,47,52.0,8.0,0.0,0.27,29.16,29.78,6.2,3,8.1,0,0,0,1,0,0,0
50,031,41.801498,-87.763416,1,0,2007,6,5,1,64,47,56.0,-9.0,48,51.0,9.0,0.0,0.42,29.1,29.79,5.2,5,7.6,0,0,1,0,0,0,0
50,031,41.801498,-87.763416,1,0,2007,6,5,2,63,51,57.0,-9.0,47,52.0,8.0,0.0,0.27,29.16,29.78,6.2,3,8.1,0,0,1,0,0,0,0
14,033,41.906638,-87.701431,3,0,2007,6,5,1,64,47,56.0,-9.0,48,51.0,9.0,0.0,0.42,29.1,29.79,5.2,5,7.6,0,0,0,1,0,0,0
14,033,41.906638,-87.701431,3,0,2007,6,5,2,63,51,57.0,-9.0,47,52.0,8.0,0.0,0.27,29.16,29.78,6.2,3,8.1,0,0,0,1,0,0,0
15,045,41.9216,-87.666455,1,0,2007,6,5,1,64,47,56.0,-9.0,48,51.0,9.0,0.0,0.42,29.1,29.79,5.2,5,7.6,0,1,0,0,0,0,0
15,045,41.9216,-87.666455,1,0,2007,6,5,2,63,51,57.0,-9.0,47,52.0,8.0,0.0,0.27,29.16,29.78,6.2,3,8.1,0,1,0,0,0,0,0
15,045,41.9216,-87.666455,1,0,2007,6,5,1,64,47,56.0,-9.0,48,51.0,9.0,0.0,0.42,29.1,29.79,5.2,5,7.6,0,0,1,0,0,0,0
15,045,41.9216,-87.666455,1,0,2007,6,5,2,63,51,57.0,-9.0,47,52.0,8.0,0.0,0.27,29.16,29.78,6.2,3,8.1,0,0,1,0,0,0,0
15,045,41.9216,-87.666455,2,0,2007,6,5,1,64,47,56.0,-9.0,48,51.0,9.0,0.0,0.42,29.1,29.79,5.2,5,7.6,0,0,0,1,0,0,0
15,045,41.9216,-87.666455,2,0,2007,6,5,2,63,51,57.0,-9.0,47,52.0,8.0,0.0,0.27,29.16,29.78,6.2,3,8.1,0,0,0,1,0,0,0
25,046,41.891118,-87.654491,1,0,2007,6,5,1,64,47,56.0,-9.0,48,51.0,9.0,0.0,0.42,29.1,29.79,5.2,5,7.6,0,0,0,1,0,0,0
25,046,41.891118,-87.654491,1,0,2007,6,5,2,63,51,57.0,-9.0,47,52.0,8.0,0.0,0.27,29.16,29.78,6.2,3,8.1,0,0,0,1,0,0,0
11,048,41.867108,-87.654224,2,0,2007,6,5,1,64,47,56.0,-9.0,48,51.0,9.0,0.0,0.42,29.1,29.79,5.2,5,7.6,0,1,0,0,0,0,0
11,048,41.867108,-87.654224,2,0,2007,6,5,2,63,51,57.0,-9.0,47,52.0,8.0,0.0,0.27,29.16,29.78,6.2,3,8.1,0,1,0,0,0,0,0
11,048,41.867108,-87.654224,1,0,2007,6,5,1,64,47,56.0,-9.0,48,51.0,9.0,0.0,0.42,29.1,29.79,5.2,5,7.6,0,0,1,0,0,0,0
11,048,41.867108,-87.654224,1,0,2007,6,5,2,63,51,57.0,-9.0,47,52.0,8.0,0.0,0.27,29.16,29.78,6.2,3,8.1,0,0,1,0,0,0,0
11,048,41.867108,-87.654224,1,0,2007,6,5,1,64,47,56.0,-9.0,48,51.0,9.0,0.0,0.42,29.1,29.79,5.2,5,7.6,0,0,0,1,0,0,0
11,048,41.867108,-87.654224,1,0,2007,6,5,2,63,51,57.0,-9.0,47,52.0,8.0,0.0,0.27,29.16,29.78,6.2,3,8.1,0,0,0,1,0,0,0
11,049,41.896282,-87.655232,2,0,2007,6,5,1,64,47,56.0,-9.0,48,51.0,9.0,0.0,0.42,29.1,29.79,5.2,5,7.6,0,0,0,1,0,0,0
11,049,41.896282,-87.655232,2,0,2007,6,5,2,63,51,57.0,-9.0,47,52.0,8.0,0.0,0.27,29.16,29.78,6.2,3,8.1,0,0,0,1,0,0,0
21,050,41.919343,-87.694259,1,0,2007,6,5,1,64,47,56.0,-9.0,48,51.0,9.0,0.0,0.42,29.1,29.79,5.2,5,7.6,0,0,1,0,0,0,0
21,050,41.919343,-87.694259,1,0,2007,6,5,2,63,51,57.0,-9.0,47,52.0,8.0,0.0,0.27,29.16,29.78,6.2,3,8.1,0,0,1,0,0,0,0
21,050,41.919343,-87.694259,1,0,2007,6,5,1,64,47,56.0,-9.0,48,51.0,9.0,0.0,0.42,29.1,29.79,5.2,5,7.6,0,0,0,1,0,0,0
21,050,41.919343,-87.694259,1,0,2007,6,5,2,63,51,57.0,-9.0,47,52.0,8.0,0.0,0.27,29.16,29.78,6.2,3,8.1,0,0,0,1,0,0,0
22,054,41.921965,-87.632085,3,0,2007,6,5,1,64,47,56.0,-9.0,48,51.0,9.0,0.0,0.42,29.1,29.79,5.2,5,7.6,0,0,0,1,0,0,0
22,054,41.921965,-87.632085,3,0,2007,6,5,2,63,51,57.0,-9.0,47,52.0,8.0,0.0,0.27,29.16,29.78,6.2,3,8.1,0,0,0,1,0,0,0
22,086,41.688324,-87.676709,4,0,2007,6,5,1,64,47,56.0,-9.0,48,51.0,9.0,0.0,0.42,29.1,29.79,5.2,5,7.6,0,0,0,1,0,0,0
22,086,41.688324,-87.676709,4,0,2007,6,5,2,63,51,57.0,-9.0,47,52.0,8.0,0.0,0.27,29.16,29.78,6.2,3,8.1,0,0,0,1,0,0,0
10,089,41.723195,-87.64997,1,0,2007,6,5,1,64,47,56.0,-9.0,48,51.0,9.0,0.0,0.42,29.1,29.79,5.2,5,7.6,0,0,0,1,0,0,0
10,089,41.723195,-87.64997,1,0,2007,6,5,2,63,51,57.0,-9.0,47,52.0,8.0,0.0,0.27,29.16,29.78,6.2,3,8.1,0,0,0,1,0,0,0
11,090,41.868077,-87.666901,1,0,2007,6,5,1,64,47,56.0,-9.0,48,51.0,9.0,0.0,0.42,29.1,29.79,5.2,5,7.6,0,0,1,0,0,0,0
11,090,41.868077,-87.666901,1,0,2007,6,5,2,63,51,57.0,-9.0,47,52.0,8.0,0.0,0.27,29.16,29.78,6.2,3,8.1,0,0,1,0,0,0,0
11,090,41.868077,-87.666901,7,0,2007,6,5,1,64,47,56.0,-9.0,48,51.0,9.0,0.0,0.42,29.1,29.79,5.2,5,7.6,0,0,0,1,0,0,0
11,090,41.868077,-87.666901,7,0,2007,6,5,2,63,51,57.0,-9.0,47,52.0,8.0,0.0,0.27,29.16,29.78,6.2,3,8.1,0,0,0,1,0,0,0
11,092,41.869216,-87.627561,1,0,2007,6,5,1,64,47,56.0,-9.0,48,51.0,9.0,0.0,0.42,29.1,29.79,5.2,5,7.6,0,0,1,0,0,0,0
11,092,41.869216,-87.627561,1,0,2007,6,5,2,63,51,57.0,-9.0,47,52.0,8.0,0.0,0.27,29.16,29.78,6.2,3,8.1,0,0,1,0,0,0,0
17,094,41.720848,-87.666014,2,0,2007,6,5,1,64,47,56.0,-9.0,48,51.0,9.0,0.0,0.42,29.1,29.79,5.2,5,7.6,0,0,1,0,0,0,0
17,094,41.720848,-87.666014,2,0,2007,6,5,2,63,51,57.0,-9.0,47,52.0,8.0,0.0,0.27,29.16,29.78,6.2,3,8.1,0,0,1,0,0,0,0
22,096,41.731922,-87.677512,1,0,2007,6,5,1,64,47,56.0,-9.0,48,51.0,9.0,0.0,0.42,29.1,29.79,5.2,5,7.6,0,1,0,0,0,0,0
22,096,41.731922,-87.677512,1,0,2007,6,5,2,63,51,57.0,-9.0,47,52.0,8.0,0.0,0.27,29.16,29.78,6.2,3,8.1,0,1,0,0,0,0,0
22,096,41.731922,-87.677512,1,0,2007,6,5,1,64,47,56.0,-9.0,48,51.0,9.0,0.0,0.42,29.1,29.79,5.2,5,7.6,0,0,1,0,0,0,0
22,096,41.731922,-87.677512,1,0,2007,6,5,2,63,51,57.0,-9.0,47,52.0,8.0,0.0,0.27,29.16,29.78,6.2,3,8.1,0,0,1,0,0,0,0
22,096,41.731922,-87.677512,1,0,2007,6,5,1,64,47,56.0,-9.0,48,51.0,9.0,0.0,0.42,29.1,29.79,5.2,5,7.6,0,0,0,1,0,0,0
22,096,41.731922,-87.677512,1,0,2007,6,5,2,63,51,57.0,-9.0,47,52.0,8.0,0.0,0.27,29.16,29.78,6.2,3,8.1,0,0,0,1,0,0,0
42,135,41.662014,-87.724608,1,0,2007,6,5,1,64,47,56.0,-9.0,48,51.0,9.0,0.0,0.42,29.1,29.79,5.2,5,7.6,0,1,0,0,0,0,0
42,135,41.662014,-87.724608,1,0,2007,6,5,2,63,51,57.0,-9.0,47,52.0,8.0,0.0,0.27,29.16,29.78,6.2,3,8.1,0,1,0,0,0,0,0
42,135,41.662014,-87.724608,2,0,2007,6,5,1,64,47,56.0,-9.0,48,51.0,9.0,0.0,0.42,29.1,29.79,5.2,5,7.6,0,0,1,0,0,0,0
42,135,41.662014,-87.724608,2,0,2007,6,5,2,63,51,57.0,-9.0,47,52.0,8.0,0.0,0.27,29.16,29.78,6.2,3,8.1,0,0,1,0,0,0,0
42,135,41.662014,-87.724608,4,0,2007,6,5,1,64,47,56.0,-9.0,48,51.0,9.0,0.0,0.42,29.1,29.79,5.2,5,7.6,0,0,0,1,0,0,0
42,135,41.662014,-87.724608,4,0,2007,6,5,2,63,51,57.0,-9.0,47,52.0,8.0,0.0,0.27,29.16,29.78,6.2,3,8.1,0,0,0,1,0,0,0
53,141,41.961743,-87.76007,1,0,2007,6,5,1,64,47,56.0,-9.0,48,51.0,9.0,0.0,0.42,29.1,29.79,5.2,5,7.6,0,0,1,0,0,0,0
53,141,41.961743,-87.76007,1,0,2007,6,5,2,63,51,57.0,-9.0,47,52.0,8.0,0.0,0.27,29.16,29.78,6.2,3,8.1,0,0,1,0,0,0,0
53,141,41.961743,-87.76007,2,0,2007,6,5,1,64,47,56.0,-9.0,48,51.0,9.0,0.0,0.42,29.1,29.79,5.2,5,7.6,0,0,0,1,0,0,0
53,141,41.961743,-87.76007,2,0,2007,6,5,2,63,51,57.0,-9.0,47,52.0,8.0,0.0,0.27,29.16,29.78,6.2,3,8.1,0,0,0,1,0,0,0
40,142,41.953067,-87.776792,1,0,2007,6,5,1,64,47,56.0,-9.0,48,51.0,9.0,0.0,0.42,29.1,29.79,5.2,5,7.6,0,0,1,0,0,0,0
40,142,41.953067,-87.776792,1,0,2007,6,5,2,63,51,57.0,-9.0,47,52.0,8.0,0.0,0.27,29.16,29.78,6.2,3,8.1,0,0,1,0,0,0,0
40,142,41.953067,-87.776792,3,0,2007,6,5,1,64,47,56.0,-9.0,48,51.0,9.0,0.0,0.42,29.1,29.79,5.2,5,7.6,0,0,0,1,0,0,0
40,142,41.953067,-87.776792,3,0,2007,6,5,2,63,51,57.0,-9.0,47,52.0,8.0,0.0,0.27,29.16,29.78,6.2,3,8.1,0,0,0,1,0,0,0
65,143,41.999129,-87.795585,2,0,2007,6,5,1,64,47,56.0,-9.0,48,51.0,9.0,0.0,0.42,29.1,29.79,5.2,5,7.6,0,0,1,0,0,0,0
65,143,41.999129,-87.795585,2,0,2007,6,5,2,63,51,57.0,-9.0,47,52.0,8.0,0.0,0.27,29.16,29.78,6.2,3,8.1,0,0,1,0,0,0,0
65,143,41.999129,-87.795585,9,0,2007,6,5,1,64,47,56.0,-9.0,48,51.0,9.0,0.0,0.42,29.1,29.79,5.2,5,7.6,0,0,0,1,0,0,0
65,143,41.999129,-87.795585,9,0,2007,6,5,2,63,51,57.0,-9.0,47,52.0,8.0,0.0,0.27,29.16,29.78,6.2,3,8.1,0,0,0,1,0,0,0
43,145,41.878114,-87.629798,3,0,2007,6,5,1,64,47,56.0,-9.0,48,51.0,9.0,0.0,0.42,29.1,29.79,5.2,5,7.6,0,0,0,1,0,0,0
43,145,41.878114,-87.629798,3,0,2007,6,5,2,63,51,57.0,-9.0,47,52.0,8.0,0.0,0.27,29.16,29.78,6.2,3,8.1,0,0,0,1,0,0,0
42,146,41.958271,-87.702575,1,0,2007,6,5,1,64,47,56.0,-9.0,48,51.0,9.0,0.0,0.42,29.1,29.79,5.2,5,7.6,0,0,1,0,0,0,0
42,146,41.958271,-87.702575,1,0,2007,6,5,2,63,51,57.0,-9.0,47,52.0,8.0,0.0,0.27,29.16,29.78,6.2,3,8.1,0,0,1,0,0,0,0
42,146,41.958271,-87.702575,2,0,2007,6,5,1,64,47,56.0,-9.0,48,51.0,9.0,0.0,0.42,29.1,29.79,5.2,5,7.6,0,0,0,1,0,0,0
42,146,41.958271,-87.702575,2,0,2007,6,5,2,63,51,57.0,-9.0,47,52.0,8.0,0.0,0.27,29.16,29.78,6.2,3,8.1,0,0,0,1,0,0,0
28,147,41.932094,-87.700117,1,0,2007,6,5,1,64,47,56.0,-9.0,48,51.0,9.0,0.0,0.42,29.1,29.79,5.2,5,7.6,0,0,0,1,0,0,0
28,147,41.932094,-87.700117,1,0,2007,6,5,2,63,51,57.0,-9.0,47,52.0,8.0,0.0,0.27,29.16,29.78,6.2,3,8.1,0,0,0,1,0,0,0
15,149,41.994469,-87.667736,1,0,2007,6,5,1,64,47,56.0,-9.0,48,51.0,9.0,0.0,0.42,29.1,29.79,5.2,5,7.6,0,0,1,0,0,0,0
15,149,41.994469,-87.667736,1,0,2007,6,5,2,63,51,57.0,-9.0,47,52.0,8.0,0.0,0.27,29.16,29.78,6.2,3,8.1,0,0,1,0,0,0,0
18,150,42.006858,-87.675919,2,0,2007,6,5,1,64,47,56.0,-9.0,48,51.0,9.0,0.0,0.42,29.1,29.79,5.2,5,7.6,0,0,0,1,0,0,0
18,150,42.006858,-87.675919,2,0,2007,6,5,2,63,51,57.0,-9.0,47,52.0,8.0,0.0,0.27,29.16,29.78,6.2,3,8.1,0,0,0,1,0,0,0
70,151,41.916265,-87.800515,1,0,2007,6,5,1,64,47,56.0,-9.0,48,51.0,9.0,0.0,0.42,29.1,29.79,5.2,5,7.6,0,0,1,0,0,0,0
70,151,41.916265,-87.800515,1,0,2007,6,5,2,63,51,57.0,-9.0,47,52.0,8.0,0.0,0.27,29.16,29.78,6.2,3,8.1,0,0,1,0,0,0,0
70,151,41.916265,-87.800515,10,0,2007,6,5,1,64,47,56.0,-9.0,48,51.0,9.0,0.0,0.42,29.1,29.79,5.2,5,7.6,0,0,0,1,0,0,0
